REF_ID,GAME_ID,DATA_SOURCE_TYPE,THESIS_TYPE,REF_TAG,AUTH_L_NAME,AUTH_SUFFIX,AUTH_F_NAME,AUTH_M_INIT,AUTH_EMAIL,AUTH_PHONE,AUTH_COUNTRY_CODE,AUTH_NOTES,YEAR_PUB,TITLE_REF,EDITOR_L_NAME,EDITOR_F_NAME,EDITOR_M_INIT,SOURCE_NAME,VOL,NUM,START_PAGE,END_PAGE,DOI,PUB_NAME,PUB_CITY,PUB_STATE,PUB_COUNTRY,UNIV_NAME,UNIV_CITY,UNIV_STATE,UNIV_COUNTRY,NUM_SPECIES_EXAM,REF_NOTES
12d,2676,GR,NA,Day 1960,Day,NA,D ,S,NA,NA,NA,NA,1960,General ecological survey of Area M-4:  Inventory of vertebrate forms present and relative abundance.  ,NA,NA,NA,Project Reports 1959-1960,NA,NA,1,5,NA,"Texas Game and Fish Commission, Marine Fisheries Division",Rockport ,TX,US,NA,NA,NA,NA,3,NA
41b,2575,T,PhD,"Boschung, 1957",Boschung,Jr,H,T,NA,NA,NA,NA,1957,The fishes of Mobile Bay and the gulf coast of Alabama ,NA,NA,NA,NA,NA,NA,1,626,NA,NA,NA,NA,NA,University of Alabama,Tuscaloosa,AL,US,15,NA
43b,2577,PL,NA,"Bradley and Bryan, 1975",Bradley,NA,Edward,NA,NA,NA,NA,NA,1975,Life History and Fishery of the Red Snapper (Lutjanus campechanus) in the Northwestern Gulf of Mexico: 1970-1974,NA,NA,NA,Proceedings of the Gulf and Caribbean Fisheries Institute,27,NA,77,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
43b,2577,PL,NA,"Bradley and Bryan, 1975",Bryan,NA,C,E,NA,NA,NA,NA,1975,Life History and Fishery of the Red Snapper (Lutjanus campechanus) in the Northwestern Gulf of Mexico: 1970-1974,NA,NA,NA,Proceedings of the Gulf and Caribbean Fisheries Institute,27,NA,77,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
3f,2717,PL,NA,"Felder, 1973",Felder,NA,Darryl,L,NA,NA,NA,NA,1973,"A Record of Pinnixa lunzi Glassell (Decapoda, Pinnotheridae) from off the Coast of Texas, USA",NA,NA,NA,Crustaceana,24,1,148,149,NA,Brill Publishers,Boston,MA,US,NA,NA,NA,NA,1,NA
4f,2705,PL,NA,"Felder and Chaney, 1979",Felder,NA,Darryl,L,NA,NA,NA,NA,1979,"Decapod  Crustacean Fauna of Seven and One-Half Fathom Reef, Texas: Species Composition, Abundance, and Species Diversity",NA,NA,NA,Contributions in Marine Science,22,NA,1,29,NA,"University of Texas Marine Science Institute, The University of Texas at Austin",Port Aransas,TX,US,NA,NA,NA,NA,17,NA
4f,2705,PL,NA,"Felder and Chaney, 1979",Chaney,NA,Allan,H,NA,NA,NA,NA,1979,"Decapod  Crustacean Fauna of Seven and One-Half Fathom Reef, Texas: Species Composition, Abundance, and Species Diversity",NA,NA,NA,Contributions in Marine Science,22,NA,1,29,NA,"University of Texas Marine Science Institute, The University of Texas at Austin",Port Aransas,TX,US,NA,NA,NA,NA,17,NA
6j,2809,GR,NA,"Jordan and Evermann, 1887",Jordan,NA,David,S,NA,NA,NA,NA,1887,"Description of Six New Species of Fishes From the Gulf of Mexico, With Notes on Other Species",NA,NA,NA,Proceedings of United States National Museum,9,NA,466,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
6j,2809,GR,NA,"Jordan and Evermann, 1887",Evermann,NA,Barton,W,NA,NA,NA,NA,1887,"Description of Six New Species of Fishes From the Gulf of Mexico, With Notes on Other Species",NA,NA,NA,Proceedings of United States National Museum,9,NA,466,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
7j,2810,GR,NA,"Jordan and Gilbert, 1883",Jordan,NA,David,S,NA,NA,NA,NA,1883,"Notes on Fishes Observed About Pensacola, Florida, and Galveston, Texas, With Description of New Species",NA,NA,NA,Proceedings of United States National Museum,5,NA,241,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7j,2810,GR,NA,"Jordan and Gilbert, 1883",Gilbert,NA,Charles,H,NA,NA,NA,NA,1883,"Notes on Fishes Observed About Pensacola, Florida, and Galveston, Texas, With Description of New Species",NA,NA,NA,Proceedings of United States National Museum,5,NA,241,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8j,2811,GR,NA,"Jordan and Gilbert, 1884",Jordan,NA,David,S,NA,NA,NA,NA,1884,"Description of Two New Species of Fishes (Aprion, Ariommus and Ophidium beani) from Pensacola, Florida",NA,NA,NA,Proceedings of United States National Museum,6,NA,142,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8j,2811,GR,NA,"Jordan and Gilbert, 1884",Gilbert,NA,Charles,H,NA,NA,NA,NA,1884,"Description of Two New Species of Fishes (Aprion, Ariommus and Ophidium beani) from Pensacola, Florida",NA,NA,NA,Proceedings of United States National Museum,6,NA,142,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
10k,2823,PL,NA,"Knapp, 1948",Knapp,NA,Frank,T,NA,NA,NA,NA,1948,A partial analysis of the Texas menhaden problem with notes on the food of more important fishes of the Texas gulf coast.,NA,NA,NA,"Texas Game, Fish and Oyster Commission Annual Report 1947-48",NA,NA,42,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
45s,3080,PL,NA,"Smith and Hernkind, 1992",Smith,NA,Kenneth,N,NA,NA,NA,NA,1992,Predation on early juvenlie spiny lobsters Panulirus argus (Latreille): influence of size and shelter.,NA,NA,NA,Journal of Experimental Marine Biology and Ecology,157,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
45s,3080,PL,NA,"Smith and Hernkind, 1992",Hernkind,NA,William,F,NA,NA,NA,NA,1992,Predation on early juvenlie spiny lobsters Panulirus argus (Latreille): influence of size and shelter.,NA,NA,NA,Journal of Experimental Marine Biology and Ecology,157,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
85s,3194,PL,NA,"Shirley, 1982",Shirley,NA,Thomas,C,NA,NA,NA,NA,1982,The Importance of Echinoderms in the Diet of Fishes of a Sublittoral Rock Reef,Chapman,B,R,South Texas Fauna,NA,NA,49,55,NA,Caesar Kleberg Wildlife Research Institute,NA,TX,US,NA,NA,NA,NA,31,Only looking at echinoderms as prey
85s,3194,PL,NA,"Shirley, 1982",Shirley,NA,Thomas,C,NA,NA,NA,NA,1982,The Importance of Echinoderms in the Diet of Fishes of a Sublittoral Rock Reef,Tunnell,J,W,South Texas Fauna,NA,NA,49,55,NA,Caesar Kleberg Wildlife Research Institute,NA,TX,US,NA,NA,NA,NA,31,Only looking at echinoderms as prey
5a,2510,PL,NA,"Adams and Kendall, 1891",Adams,NA,A,C,NA,NA,NA,NA,1891,Report upon an investigation of fishing grounds off the west coast of Florida,NA,NA,NA,Bulletin of the United States Fish Commission,NA,NA,289,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
5a,2510,PL,NA,"Adams and Kendall, 1891",Kendall,NA,W,C,NA,NA,NA,NA,1891,Report upon an investigation of fishing grounds off the west coast of Florida,NA,NA,NA,Bulletin of the United States Fish Commission,NA,NA,289,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
14b,2569,PL,NA,"Baughman, 1943",Baughman,NA,J,L,NA,NA,NA,NA,1943,The Lutianid Fishes of Texas,NA,NA,NA,Copeia,1943,4,212,215,NA,American Society of Ichthyologists and Herpetologists,Lawrence,KS,US,NA,NA,NA,NA,1,NA
2c,2594,GR,NA,"Camber, 1955",Camber,NA,C,Isaac,NA,NA,NA,NA,1955,"A Survey of the Red Snapper Fishery of the Gulf of Mexico, With Special Reference to the Campeche Banks",NA,NA,NA,"State of Florida, Board of Conservation, Marine Laboratory, Univeristy of Miami; Technical Series",NA,12,1,63,NA,"State of Florida, Board of Conservation, Marine Laboratory, Univeristy of Miami",Coral Gables,FL,US,NA,NA,NA,NA,1,NA
26f,2728,Abstract,NA,"Futch and Bruger, 1976",Futch,NA,Rena,Barco,NA,NA,NA,NA,1976,"Age, Growth, and Reproduction of Red Snapper in Florida Waters",Bullis,H,R.J.,Proceedings: Colloquim on snapper-grouper fishery resources of western central Atlantic Ocean.  Florida Sea Grant Report Number 17,1976,17,165,184,NA,Florida SeaGrant Program,NA,FL,US,NA,NA,NA,NA,1,NA
26f,2728,Abstract,NA,"Futch and Bruger, 1976",Futch,NA,Rena,Barco,NA,NA,NA,NA,1976,"Age, Growth, and Reproduction of Red Snapper in Florida Waters",Jones,A,C,Proceedings: Colloquim on snapper-grouper fishery resources of western central Atlantic Ocean.  Florida Sea Grant Report Number 17,1976,17,165,184,NA,Florida SeaGrant Program,NA,FL,US,NA,NA,NA,NA,1,NA
26f,2728,Abstract,NA,"Futch and Bruger, 1976",Bruger,NA,Gerard,E,NA,NA,NA,NA,1976,"Age, Growth, and Reproduction of Red Snapper in Florida Waters",Bullis,H,R.J.,Proceedings: Colloquim on snapper-grouper fishery resources of western central Atlantic Ocean.  Florida Sea Grant Report Number 17,1976,17,165,184,NA,Florida SeaGrant Program,NA,FL,US,NA,NA,NA,NA,1,NA
26f,2728,Abstract,NA,"Futch and Bruger, 1976",Bruger,NA,Gerard,E,NA,NA,NA,NA,1976,"Age, Growth, and Reproduction of Red Snapper in Florida Waters",Jones,A,C,Proceedings: Colloquim on snapper-grouper fishery resources of western central Atlantic Ocean.  Florida Sea Grant Report Number 17,1976,17,165,184,NA,Florida SeaGrant Program,NA,FL,US,NA,NA,NA,NA,1,NA
8n,2956,T,PhD,"Nelson, 1988",Nelson,NA,Russell,Stephen,NA,NA,NA,NA,1988," A study of the life history, ecology, and population dynamics of four sympatric reef predators (Rhomboplites aurorubens, Lutjanus campechanus, Lutjanidae; Haemulon melanurum, Haemulidae; and Pagrus pagrus, Sparidae) on the East and West Flower Garden Banks, northwestern Gulf of Mexico",NA,NA,NA,NA,NA,NA,1,197,NA,NA,NA,NA,NA,North Carolina State University,Raleigh,NC,US,27,NA
57s,3092,PL,NA,"Stearns, 1884",Stearns,NA,Silas,NA,NA,NA,NA,NA,1884,On the Position and Character of the Fishing Grounds of the Gulf of Mexico,NA,NA,NA,Bulletin of the United States Fish Commission,4,19,289,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
