"study","predator", "length(mm)","prey", "latitude", "longitude", "altitude"
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",88.0,"Ampelisca agassizi",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",63.0,"Ampelisca agassizi",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",125.5,"Ampelisca agassizi",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Ampelisca agassizi",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Ampelisca agassizi",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Ampelisca agassizi",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",88.0,"Ampelisca agassizi",29.381037428487947,-88.11410162639304,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",88.0,"Ampelisca agassizi",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",88.0,"Ampelisca agassizi",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca agassizi",29.406036586489947,-88.41833952933145,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca agassizi",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca agassizi",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",200.5,"Ampelisca agassizi",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",63.0,"Ampelisca agassizi",29.078757226748905,-88.81799389735265,-100.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",88.0,"Ampelisca agassizi",29.072717089208876,-88.78243788152271,-100.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",125.5,"Ampelisca agassizi",29.082809106377052,-88.79838698780839,-100.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",113.0,"Ampelisca agassizi",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",113.0,"Ampelisca agassizi",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",113.0,"Ampelisca agassizi",30.070458267484334,-88.11687922827355,-20.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",125.5,"Ampelisca agassizi",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",125.5,"Armandia agilis",29.12455263692723,-88.50303096042488,-200.0
"mississippiAlabamaFishDiet.csv.gz","Pontinus longispinis",150.5,"Acanthocarpus alexandri",29.693456222946946,-87.24882026798853,-200.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",150.5,"Acanthocarpus alexandri",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",125.5,"Acanthocarpus alexandri",29.253541976962037,-88.12028222204832,-200.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Ampelisca bicarinata",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Ampelisca bicarinata",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Rhomboplites aurorubens",88.0,"Ampelisca bicarinata",30.03976249158956,-88.11389292612989,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Ampelisca bicarinata",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",63.0,"Ampelisca bicarinata",30.070458267484334,-88.11687922827355,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",88.0,"Ampelisca bicarinata",30.069625709617917,-88.62257550590883,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Ampelisca bicarinata",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",88.0,"Ampelisca bicarinata",29.381037428487947,-88.11410162639304,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",88.0,"Ampelisca bicarinata",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca bicarinata",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",200.5,"Ampelisca bicarinata",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Acanthosquilla biminiensis",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",138.0,"Acanthosquilla biminiensis",30.040875620651423,-87.69000247568307,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Acanthosquilla biminiensis",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Acanthosquilla biminiensis",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",200.5,"Acanthosquilla biminiensis",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",175.5,"Albunea",30.040875620651423,-87.69000247568307,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",175.5,"Albunea",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Albunea",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",113.0,"Albunea",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",113.0,"Albunea",30.070458267484334,-88.11687922827355,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Albunea",30.062539738066413,-88.10167073532247,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus rubio",150.5,"Albunea",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",88.0,"Albunea",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Albunea",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Albunea",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Albunea",30.070458267484334,-88.11687922827355,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",200.5,"Albunea",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Pontinus longispinis",113.0,"Acanthocarpus alexandri ",29.253541976962037,-88.12028222204832,-200.0
"mississippiAlabamaFishDiet.csv.gz","Pontinus longispinis",113.0,"Acanthocarpus alexandri ",29.24229265443229,-88.10646304406222,-200.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus alatus",113.0,"Acanthocarpus alexandri ",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",125.5,"Acanthocarpus alexandri ",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Anchoa hepsetus",63.0,"Acetes americanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",63.0,"Acetes americanus",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Rhynchoconger flavus",250.5,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Rhynchoconger flavus",350.5,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Centropristis philadelphica",63.0,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeus cf floridanus",30.01671006264202,-88.61042275591186,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",38.0,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus cf floridanus",29.451313533309552,-88.58611734145096,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",113.0,"Alphaeus cf floridanus",29.072717089208876,-88.78243788152271,-100.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",63.0,"Alphaeus cf floridanus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",225.5,"Alphaeus cf floridanus",29.41471670539662,-88.56278322117629,-60.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",275.5,"Alphaeus cf floridanus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Haemulon aurolineatum",88.0,"Amphilochus",30.03976249158956,-88.11389292612989,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",88.0,"Amphilochus",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",125.5,"Acanthocarpus?",29.269930551180664,-88.12139361487118,-100.0
"mississippiAlabamaFishDiet.csv.gz","Haemulon aurolineatum",88.0,"Ampelisca cf vadorum",30.03976249158956,-88.11389292612989,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",175.5,"Amphideutopus",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus roseus",150.5,"Aega?",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",38.0,"Asychis elongatus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",63.0,"Asychis elongatus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",88.0,"Asychis elongatus",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",63.0,"Aetideus",29.23155307958495,-88.1286172185767,-200.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",88.0,"Aetideus",29.12455263692723,-88.50303096042488,-200.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",125.5,"Aetideus",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",225.5,"Aetideus",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",275.5,"Aetideus",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",125.5,"Aetideidae?",29.12455263692723,-88.50303096042488,-200.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeus floridanus",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",63.0,"Alphaeus floridanus",29.406036586489947,-88.41833952933145,-60.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",63.0,"Anaitides groenlandica",29.25340316061976,-88.14069947904687,-100.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",88.0,"Anaitides groenlandica",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus civitatus",113.0,"Aglaophamus verrilli",29.253541976962037,-88.12028222204832,-200.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",138.0,"Argissa hamatipes",30.040875620651423,-87.69000247568307,-20.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",63.0,"Argissa hamatipes",30.069625709617917,-88.62257550590883,-20.0
"mississippiAlabamaFishDiet.csv.gz","Synodus foetens",138.0,"Anchoa hepsetus",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Synodus foetens",175.5,"Anchoa hepsetus",30.01671006264202,-88.61042275591186,-20.0
"mississippiAlabamaFishDiet.csv.gz","Synodus foetens",175.5,"Anchoa hepsetus",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Anchoa hepsetus",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Polydactylus octonemus",113.0,"Anchoa hepsetus",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",63.0,"Alphaeus cf heterochaelis",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",88.0,"Amphicteis",29.721095814334234,-87.34597329916312,-100.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",63.0,"Amphicteis",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",150.5,"Anasimus latus",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",63.0,"Alphaeidae",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",88.0,"Anaitides longipes",29.082809106377052,-88.79838698780839,-100.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",225.5,"Alphaeidae",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Centropristis philadelphica",88.0,"Alphaeidae",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeidae",30.01671006264202,-88.61042275591186,-20.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeidae",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",63.0,"Alphaeidae",29.444715726515504,-88.58549255657694,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeidae",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",175.5,"Alphaeidae",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Scorpaena calcarata",63.0,"Alphaeidae",29.413327990886586,-88.11562973110424,-60.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus civitatus",88.0,"Alphaeidae",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",88.0,"Alphaeidae",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",175.5,"Alphaeidae",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",225.5,"Alphaeidae",29.41471670539662,-88.56278322117629,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus paralatus",88.0,"Alphaeidae",29.25340316061976,-88.14069947904687,-100.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",138.0,"Alphaeus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Albunea?",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Centropristis philadelphica",150.5,"Albunea?",29.072717089208876,-88.78243788152271,-100.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Albunea",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Albunea",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",38.0,"Alphaeus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bathygadus macrops",125.5,"Alphaeus",29.25340316061976,-88.14069947904687,-100.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",225.5,"Alphaeus",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",63.0,"Alphaeus",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Alphaeus",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",63.0,"Alphaeus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus",29.078757226748905,-88.81799389735265,-100.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus",29.27291652919212,-88.10910158533426,-100.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",88.0,"Alphaeus",29.41471670539662,-88.56278322117629,-60.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",138.0,"Alphaeus",30.040875620651423,-87.69000247568307,-20.0
"mississippiAlabamaFishDiet.csv.gz","Pontinus longispinis",63.0,"Alphaeus",29.7068588088653,-87.33194568528297,-100.0
"mississippiAlabamaFishDiet.csv.gz","Pontinus longispinis",113.0,"Alphaeus",29.253541976962037,-88.12028222204832,-200.0
"mississippiAlabamaFishDiet.csv.gz","Scorpaena calcarata",63.0,"Alphaeus",29.413327990886586,-88.11562973110424,-60.0
"mississippiAlabamaFishDiet.csv.gz","Scorpaena calcarata",63.0,"Alphaeus",29.813174092260358,-87.4032649394475,-60.0
"mississippiAlabamaFishDiet.csv.gz","Scorpaena calcarata",88.0,"Alphaeus",29.813174092260358,-87.4032649394475,-60.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Alphaeus",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus roseus",150.5,"Alphaeus",29.813174092260358,-87.4032649394475,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",63.0,"Alphaeus",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus rubio",88.0,"Alphaeus",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",75.5,"Alphaeus",29.71560868071131,-87.34423698950725,-100.0
"mississippiAlabamaFishDiet.csv.gz","Lepophidium graellsi",175.5,"Alphaeus",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Serranus atrobranchus",113.0,"Alphaeus cf macrochaeles?",29.078757226748905,-88.81799389735265,-100.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Alphaeus macrochaeles",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",88.0,"Anaitides madeirensis",29.78657956539754,-87.3743763002893,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus rubio",150.5,"Amakusanthura magnifica",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",63.0,"Amakusanthura",29.271666244809516,-88.11104632294395,-100.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",63.0,"Amakusanthura",29.381037428487947,-88.11410162639304,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Amakusanthura",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Amakusanthura",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus roseus",113.0,"Amboleberis americana",29.804773224346548,-87.37048726628083,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",63.0,"Megalops",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",150.5,"Megalops",29.28201376473282,-88.09868511374383,-100.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus rubio",150.5,"Megalops",29.808523503043528,-87.33833596742299,-60.0
"mississippiAlabamaFishDiet.csv.gz","Anchoa hepsetus",88.0,"Amphinomidae",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",88.0,"Amphinomidae",29.813174092260358,-87.4032649394475,-60.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",12.5,"Amphinomidae",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",88.0,"Amphinomidae",29.406036586489947,-88.41833952933145,-60.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Ampeliscidae",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",38.0,"Amakusanthura?",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",125.5,"Ampelisca",29.662487119386878,-87.27388990699453,-200.0
"mississippiAlabamaFishDiet.csv.gz","Diplectrum bivittatum",88.0,"Ampelisca",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",63.0,"Ampelisca",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Leiostomus xanthurus",163.0,"Ampelisca",30.040875620651423,-87.69000247568307,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Ampelisca",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",63.0,"Ampelisca",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus scitulus",38.0,"Ampelisca",30.066291464210266,-87.685418839269,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus scitulus",113.0,"Ampelisca",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",63.0,"Ampelisca",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus civitatus",113.0,"Ampelisca",29.444715726515504,-88.58549255657694,-60.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",138.0,"Ampelisca",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Ampelisca",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Micropogonias undulatus",138.0,"Ampelisca",30.03976249158956,-88.11389292612989,-20.0
"mississippiAlabamaFishDiet.csv.gz","Polydactylus octonemus",88.0,"Ampelisca",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Ampelisca",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus longispinosus",63.0,"Ampelisca",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus scitulus",113.0,"Ampelisca",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",63.0,"Ampelisca",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium gunteri",125.5,"Ampelisca",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",200.5,"Ampelisca",30.074208037433216,-87.68409997359203,-20.0
"mississippiAlabamaFishDiet.csv.gz","Rhynchoconger flavus",250.5,"Ampelisca",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Anchoa hepsetus",88.0,"Ampelisca",30.052334321073293,-88.64160423325114,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",175.5,"Ampelisca",30.090594488345502,-87.68826636652753,-20.0
"mississippiAlabamaFishDiet.csv.gz","Ariopsis felis",250.5,"Ampelisca",30.069625709617917,-88.62257550590883,-20.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",63.0,"Ampelisca",29.78657956539754,-87.3743763002893,-60.0
