original,corrected,physiologic state,sediment origin,prey parts,life history stage,reference,notes,,
Dusky flounder,Syacium papillosum,,,,,,,,
Shortjaw lizardfish,Saurida normani,,,,,,,,
Blackmouth bass,Synagrops bellus,,,,,,,,
Shortwing searobin,Prionotus stearnsi,,,,,,,,
Bank seabass,Centropristis ocyurus,,,,,,,,
Dwarf goatfish,Upeneus parvus,,,,,,,,
Red goatfish,Mullus auratus,,,,,,,,
Longfin scorpionfish,Scorpaena agassizii,,,,,,,,
Bearded brotula,Brotula barbata,,,,,,,,
Elasmobranch,Elasmobranchii,,,,,,,,
Longspine porgy,Stenotomus caprinus,,,,,,,,
Longspine swimming Crab,Portunus spinicarpus,,,,,,,,
Vermillion snapper,Rhomboplites aurorubens,,,,,,,,
Bigeye searobin,Prionotus longispinosus,,,,,,,,
Atlantic croaker,Micropogonias undulatus,,,,,,,,
Spot,Leiostomus xanthurus,,,,,,,,
Brown Rock Shrimp,Sicyonia brevirostris,,,,,,,,
Crustacean,Crustacea,,,,,,,,
Wenchman,Pristipomoides aquilonaris,,,,,,,,
Duckbill flathead," ""Bembrops anatirostris""",,,,,,,,
Hunchback scorpionfish,Scorpaena dispar,,,,,,,,
Rough scad,Trachurus lathami,,,,,,,,
NA,,,,,,,,,
NE,,,,,,,,,
Crab,Brachyura,,,,,,,,
Cusk eel,Ophidiidae,,,,,,,,
Goatfish sp.,Mullidae,,,,,,,,
Lizardfish sp.,Synodontidae,,,,,,,,
Mantish shrimp sp.," ""Stomatopods""",,,,,,,,
Scorpionfish sp.,Scorpaenidae,,,,,,,,
Eel,Anguilliformes,,,,,,,,
Decopoda,Decapoda,,,,,,,,
Diptera 2,Diptera,,,,,,,,
Diptera 1,Diptera,,,,,,,,
Brachura," ""Brachyura""",,,,,,,,
Pleocyemataspp.," ""Pleocyemata""",,,,,,,,
Dendrobranchiataspp.,Dendrobranchiata,,,,,,,,
Ascideacea,Ascidiacea,,,,,,,,
Snails,Gastropoda,,,,,,,,
Alphaeidae,Alpheidae,,,,,,,,
Empty," """"",,,,,,,,
Brown Rock Shrimp,Sicyonia brevirostris,,,,,,,,
Pteropods,Pteropoda,,,,,,,,
Priapula,Priapulida,,,,,,,,
Crocodilia,Crocodylia,,,,,,,,
Sponges,Porifera,,,,,,,,
Peneaidae,Penaeidae,,,,,,,,
Crustacean remains,Crustacea,,,,,,,,
Alphaeus macrochaeles," ""Alpheus macrocheles""",,,,,,,,
Sea anemone,Actiniaria,,,,,,,,
Barnacle,Cirripedia,,,,,,,,
Barnacle shell/fragments,Cirripedia,,,,,,,,
Dardanus insignus,Dardanus insignis,,,,,,,,
coconut,Arecaceae,,,,,,,,
Litopeneaus setiferus,Litopenaeus setiferus,,,,," ""js""",spelling error,,
salakka,Alburnus alburnus,,,,,Wikipedia; js," ""Wikipedia page was in a foreign language I could not comprehend.  The English common name is 'common bleak'""",,
Urophysis chuss,Urophycis chuss,,,,,"Fishbase, ITIS, js",probably a spelling error,,
Aka brevitubulatum,Siphonodictyon brevitubulatum,,,,,"WoRMS, js","Aka brevitubulata (Pang, 1973) (Junior synonymy with insect genus Aka White, 1879. Reverting to original name",,
Cliona laticovicola,Cliona laticavicola,,,,,"EOL, js",probably a spelling error,,
Colpophyliia amaranthus,Colpophyllia amaranthus,,,,,"EOL, js"," ""probably a spelling error""",,
Conorbulina,Candorbulina,,,,,"EOL, js"," ""probably a spelling error""",,
Coralliophila caribbaea," ""Coralliophila caribaea""",,,,,"EOL, js"," ""probably a spelling error""",,
Corycaeus amazonicu,Corycaeus amazonicus,,,,,"EOL, js"," ""probably a spelling error""",,
Crepidocantha setigera,Crepidacantha setigera,,,,,"EOL, js"," ""probably a spelling error""",,
Cribochalina dura,Cribrochalina dura,,,,,"EOL, js"," ""probably a spelling error""",,
Cymphoma mcgintyi,Cyphoma mcgintyi,,,,,"EOL, js"," ""probably a spelling error""",,
Cypraeacassis testiculus,Cypraecassis testiculus,,,,,"EOL, js"," ""probably a spelling error""",,
bleak," ""Alburnus alburnus""",,,,," ""Wikipedia"," js"""," ""The English common name is 'common bleak'.  This is the same as the salakka that was also in the SPIRE list.""",
Bracyscelus crusculum," ""Brachyscelus crusculum""",,,,," ""EOL"," js"""," ""probably a spelling error or change in spelling by taxonomists""",
Conorbulina," ""Candorbulina""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Chorizopora brongniarti," ""Chorizopora brongniartii""",,,,," ""EOL"," js"""," ""probably a spelling error or change in spelling by taxonomists""",
ciliates,Ciliophora,,,,," ""Wikipedia"," js""",,
Red racer," ""Coluber flagellum piceus""",,,,," ""js"""," """"",,
Haplochromis chrysonotus," ""Copadichromis insularis""",,,,," ""js"""," """"",,
Coralliophila caribbaea," ""Coralliophila caribaea""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Helmidae," ""Elmidae""",,,,," ""EOL", ITIS," js"""," ""EOL refers to SPIRE. ITIS has contributed name as invalid."""
Exochonella antillea," ""Exechonella antillea""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Farfantepeneaus aztecus," ""Farfantepenaeus aztecus""",,,,," ""js"""," ""spelling error""",,
Geosargus cuprarius," ""Geosargus cuprarius""",,,,," ""js"""," ""foreign websites""",,
cactus weevils," ""Gerstaeckeria""",,,,," ""http://edis.ifas.ufl.edu/in688"," js"""," ""this genus has two species of cactus weevils""",
Goniaulax tamarensis," ""Gonyaulax tamarensis""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Hesperocharis leucanta," ""Hesperocharis leucania""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Drepanophora tuberculatum," ""Heteropoma tuberculatum""",,,,," ""js"""," """"",,
Krohniita subtilis," ""Krohnitta subtilis""",,,,," ""EOL"," js"""," ""probably a spelling error or change in spelling by taxonomists""",
Limicina," ""Limacina""",,,,," ""js"""," """"",,
Lithopoma caelata," ""Lithopoma caelatum""",,,,," ""EOL"," js"""," ""probably a spelling error"," or change in taxonomy"""
Lithopoma tecta," ""Lithopoma tectum""",,,,," ""EOL"," js"""," ""probably a spelling error"," or change in taxonomy"""
Litopeneaus setiferus," ""Litopenaeus setiferus""",,,,," ""js"""," ""spelling error""",,
Lutjanus mahagoni," ""Lutjanus mahogoni""",,,,," ""EOL"," js"""," ""probably a spelling error""",
Mithrax cinctimanus," ""Mithraculus cinctimanus""",,,,," ""EOL"," js"""," ""Name reported by contributor is invalid""",
Mithrax coryphe," ""Mithraculus coryphe""",,,,," ""EOL"," js"""," ""Name reported by contributor is invalid""",
Mithrax ruber," ""Mithraculus ruber""",,,,," ""EOL"," js"""," ""Name reported by contributor is invalid""",
Mithrax sculptus," ""Mithraculus sculptus""",,,,," ""EOL"," js"""," ""Name reported by contributor is invalid""",
Mycetophyllia lamarckana," ""Mycetophyllia lamarckiana""",,,,," ""EOL"," js"""," ""probably a spelling error or change in spelling by taxonomists""",
slime molds," ""Myxogastria""",,,,," ""Wikipedia"," js"""," ""There are other groups in the slime molds.""",
Nemertines," ""Nemertea""",,,,," ""Wikipedia"," js"""," ""a phylum of invertebrate animals also known as 'ribbon worms' or 'proboscis worms'.[3] Alternative names for the phylum have included Nemertini"," Nemertinea and Rhynchocoela"""
Oculina valenciennesii,Oculina valenciennesi,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Oligoceras violacea,Oligoceras violacea,,,,,"http://www.organismnames.com/namedetails.htm?lsid=30532, js","obscure references, not found on ITIS, WoRMS, EOL",,
Oncaea meditteranea,Oncaea mediterranea,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Parycyathus defilippi,Paracyathus defilippi,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Parapinnixa bouvier,Parapinnixa bouvieri ,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Parazoanthus monostichus,Parazoanthus monostichus,,,,,"http://discover.odai.yale.edu/ydc/Record/2946011, js","obscure references, not found on ITIS, WoRMS, EOL",,
limpets,Patellogastropoda,,,,,"Wikipedia, js",These are the true limpets but there are others also called limpets.,,
Petrolishtes galathinus,Petrolisthes galathinus,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Pitar fulminata,Pitar fulminatus,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Pitho iherminieri,Pitho lherminieri,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Platydoris augustipes,Platydoris angustipes,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Rotatoria,Rotifera,,,,,"Wikipedia, js",a phylum of microscopic and near-microscopic pseudocoelomate animals,,
Aka brevitubulatum,Siphonodictyon brevitubulatum,,,,,"WoRMS, js","Aka brevitubulata (Pang, 1973) (Junior synonymy with insect genus Aka White, 1879. Reverting to original name",,
Spheciosponia vesparium,Spheciospongia vesparium,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Homoptera,Sternorrhyncha,,,,,"ITIS, js",two names appear in ITIS for this taxa,,
Diplodus caudimaculata,Strongylura strongylura,,,,,"WoRMS, js",Invalid name provided by the contributor,,
Synalpheus fritzmulleri,Synalpheus fritzmuelleri,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Synalpheus pandionensis,Synalpheus pandionis,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Tritonopsis frydis,Tritoniopsis frydis,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Tubastrea tenuilamellosa,Tubastrea tenuilamellosa,,,,,"http://zipcodezoo.com/Animals/T/Tubastrea_tenuilamellosa/, js",,,
Turbo caillettii,Turbo cailletii,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Urophysis chuss,Urophycis chuss,,,,,"Fishbase, ITIS, js",probably a spelling error or change in spelling by taxonomists,,
Verongia gigantea,Verongula gigantea,,,,,"EOL, js",probably a spelling error or change in spelling by taxonomists,,
Verongula ardia,Verongula ardis,,,,,"EOL, js"," """"",,
S. enflata," ""Sagitta enflata""",,,,,"ITIS, js"," """"",,
Protopalythoa fusca,Protopalythoa fusca,,,,,http://gni.globalnames.org/name_strings?page=3609&search_term=ns%3APRO*," """"",,
Oligoceras violacea,Oligoceras violacea,,,,,"http://www.organismnames.com/namedetails.htm?lsid=30532, js","obscure references, not found on ITIS, WoRMS, EOL",,
Myiatropa,Myiatropa,,,,,http://zipcodezoo.com/Key/Animalia/Myiatropa_Genus.asp,,,
Tubastrea tenuilamellosa,Tubastrea tenuilamellosa,,,,,http://zipcodezoo.com/Animals/T/Tubastrea_tenuilamellosa/,,,
Medusae,Medusozoa,,,,,ITIS,,,
Geosargus cuprarius,Geosargus cuprarius,,,,,," ""Not sure of the source reference for this.  Have found it on some foreign websites.""",,
Pseudocertina crassa,Aiolochroia crassa,,,,,"ITIS,WoRMS","genus transfer, synonymised taxon",,
Collisella pustulata,Collisella pustulata,,,,,http://www.discoverlife.org/mp/20q?search=Collisella+pustulata,"obscure references, not found on ITIS, WoRMS, EOL",,
Corophiidae Genus A,Corophiidae,,,,,,,,
S enflata,Sagitta enflata,,,,,http://eol.org/pages/11122846/overview,expanded abbreviation for marine species,,
Bacteria attached to sediment POM,Bacteria,,,,,,,,
Cal sapidus,Callinectes sapidus,,,,,replacement requested by James Simons,for more information see https://github.com/jhpoelen/gomexsi/issues/35,,
Fish bone   ,	 Actinopterygii 	,		,		,	bone	,		,	Wrast 2008	,		,
 Fish Eyeball 	,	 Actinopterygii 	,		,		,	eyeball	,		,	Wrast 2008	,		,
 Fish Fin Ray 	,	 Actinopterygii 	,		,		,	fin ray	,		,	Wrast 2008	,		,
 fish larvae 	,	 Actinopterygii 	,		,		,		,	larvae	,	Barnes 2008	,		,
 Fish parts 	,	 Actinopterygii 	,		,		,	parts	,		,	Wrast 2008	,		,
 Fish skull 	,	 Actinopterygii 	,		,		,	skull	,		,	Wrast 2008	,		,
 Fish tissue (otoliths) 	,	 Actinopterygii 	,		,		,	otoliths	,		,	Wrast 2008	,		,
 fish unidentified 	,	 Actinopterygii 	,		,		,		,		,	Barnes 2008	,		,
 Otolith 	,	 Actinopterygii 	,		,		,	otolith	,		,	Wrast 2008	,		,
 Unidentified fish remains 	,	 Actinopterygii 	,	remains	,		,		,		,	Baremore 2010	,		,
 Fish Tissue 	,	 Actinopterygii 	,		,		,	tissue	,		,	Wrast 2008	,		,
 Ctenoid scale 	,	 Actinopterygii 	,		,		,	ctenoid scale	,		,	Wrast 2008	,		,
 Alphaeus floridanus 	,	 Alpheus floridanus 	,		,		,		,		,	Simons 1997	,		,
 Alphaeus floridanus 	,	 Alpheus floridanus 	,		,		,		,		,	Rogers 1977	,		,
 Alpheus heterochaelis claws 	,	 Alpheus heterochaelis 	,		,		,	claws	,		,	Wrast 2008	,		,
 Alphaeus normanii 	,	 Alpheus normanii 	,		,		,		,		,	Simons 1997	,		,
 Armanida agilis 	,	 Armandia agilis 	,		,		,		,		,	Rogers 1977	,		,
 Asychis elongatus 	,	 Asychis elongata 	,		,		,		,		,	Simons 1997	,		,
 Asychis nr. gotoi 	,	 Asychis 	,		,		,		,		,	Simons 1997	,		,
 Bidulphia sp. 	,	 Biddulphia 	,		,		,		,		,	Vega-Cendejas 1998	,		,
 Bivalvia Genus A 	,	 Bivalvia 	,		,		,		,		,	Simons 1997	,	Genus A	,
 Bivalvia Genus B 	,	 Bivalvia 	,		,		,		,		,	Simons 1997	,	Genus B	,
 Bocardiella sp. A 	,	 Boccardiella 	,		,		,		,		,	Simons 1997	,		,
 Bowmaniella portorciensis 	,	 Bowmaniella portoricensis 	,		,		,		,		,	Simons 1997	,		,
 Crab parts 	,	 Brachyura 	,		,		,	parts	,		,	Wrast 2008	,		,
 Unidentified crabs 	,	 Brachyura 	,		,		,		,		,	Simons 1997	,		,
 brachyura larvae 	,	 Brachyura 	,		,		,		,	larvae	,	Barnes 2008	,		,
 Brachyuran larvae 	,	 Brachyura 	,		,		,		,	larvae	,	Wrast 2008	,		,
 Other crabs 	,	 Brachyura 	,		,		,		,		,	Akin et al 2006	,		,
 Unid crab 	,	 Brachyura 	,		,		,		,		,	Blewett 2006	,		,
 bryozoa larvae 	,	 Bryozoan 	,		,		,		,	larvae	,	Barnes 2008	,		,
 Calanoid copepodite 	,	 Calanoida 	,		,		,		,	copepodite	,	Barnes 2008	,		,
 calanoid egg 	,	 Calanoida 	,		,		,		,	egg	,	Barnes 2008	,		,
 Calanoida copepoda 	,	 Calanoida 	,		,		,		,		,	Akin et al 2006	,		,
 Unidentified calanoid 	,	 Calanoida 	,		,		,		,		,	Simons 1997	,		,
 Callianassidae claw 	,	 Callianassidae 	,		,		,	claw	,		,	Wrast 2008	,		,
 Calazodion sp. 	,	 Calozodion 	,		,		,		,		,	Simons 1997	,		,
 Larval shrimp 	,	 Caridea 	,		,		,		,	larvae	,	Wrast 2008	,		,
 Shrimp carapace 	,	 Caridea 	,		,		,	carapace	,		,	Wrast 2008	,		,
 Shrimp parts 	,	 Caridea 	,		,		,	parts	,		,	Wrast 2008	,		,
 Shrimp telson 	,	 Caridea 	,		,		,	telson	,		,	Wrast 2008	,		,
 Shrimp torso 	,	 Caridea 	,		,		,	torso	,		,	Wrast 2008	,		,
 Unid shrimp 	,	 Caridea 	,		,		,		,		,	Blewett 2006	,		,
 Unidentified shrimp 	,	 Caridea 	,		,		,		,		,	Akin et al 2006	,		,
 Unidentified shrimp 	,	 Caridea 	,		,		,		,		,	Simons 1997	,		,
 Unidentified shrimp (lar) 	,	 Caridea 	,		,		,		,		,	Simons 1997	,		,
 Unidentified shrimp (pl) 	,	 Caridea 	,		,		,		,		,	Simons 1997	,		,
 Unidentified shrimp remains 	,	 Caridea 	,	remains	,		,		,		,	Baremore 2010	,		,
 Centropages typicus - copepodite 	,	 Centropages typicus 	,		,		,		,	copepodite	,	Barnes 2008	,		,
 Centropages typicus - nauplius 	,	 Centropages typicus 	,		,		,		,	nauplius	,	Barnes 2008	,		,
 Callianassa emarginata 	,	 Cheramus marginatus 	,		,		,		,		,	Simons 1997	,		,
 Conus semathorum 	,	 Conus sennottorum 	,		,		,		,		,	Torruco and Gonzalez 1994	,	according to ITIS; is Conus philippi in WoRMS	,
 Copepod copepodite 	,	 Copepoda 	,		,		,		,	copepodite	,	Barnes 2008	,		,
 Copepod egg 	,	 Copepoda 	,		,		,		,	egg	,	Barnes 2008	,		,
 copepod nauplius 	,	 Copepoda 	,		,		,		,	nauplius	,	Barnes 2008	,		,
 Copepod nauplius 	,	 Copepoda 	,		,		,		,	nauplius	,	Barnes 2008	,		,
 Copepoda juv. 	,	 Copepoda 	,		,		,		,	juvenile	,	Barnes 2008	,		,
 Corophiidae Genus B 	,	 Corophiidae 	,		,		,		,		,	Simons 1997	,	Genus B	,
 Crustacea digestate 	,	 Crustacea 	,	digestate	,		,		,		,	McMichael	,		,
 crustacean larva 	,	 Crustacea 	,		,		,		,	larvae	,	Barnes 2008	,		,
 Unidentified crustacean 	,	 Crustacea 	,		,		,		,		,	Barnes 2008	,		,
 Unidentified crustacean egg 	,	 Crustacea 	,		,		,		,	egg	,	Barnes 2008	,		,
 teleosts/molluscs/crustaceans 	,	 Crustacea 	,		,		,		,		,	Barnes 2008	,		,
 Ctenophore medusae tissue 	,	 Ctenophora 	,		,		,	tissue	,	medusae	,	Simons 1997	,		,
 Cyclopoid copepoda 	,	 Cyclopoida 	,		,		,		,		,	Akin et al 2006	,		,
 Cyclopoid copepodite 	,	 Cyclopoida 	,		,		,		,	copepodite	,	Barnes 2008	,		,
 Decapod carapace 	,	 Decapoda 	,		,		,	carapace	,		,	Wrast 2008	,		,
 Decapod legs 	,	 Decapoda 	,		,		,	legs	,		,	Wrast 2008	,		,
 Decapod zoea 	,	 Decapoda 	,		,		,		,	zoea	,	Barnes 2008	,		,
 Decopoda larvae 	,	 Decopoda 	,		,		,		,	larvae	,	Akin et al 2006	,		,
 Diptera midges(pupa) 	,	 Diptera 	,		,		,		,	midges	,	Akin et al 2006	,		,
 Emiliani huxleyi 	,	 Emiliania huxleyi 	,		,		,		,		,	Roopnarine et al 2013	,	according to WoRMS; is Coccolithus huxleyi in ITIS	,
 Erichtonius brasiliensis 	,	 Erichthonius brasiliensis 	,		,		,		,		,	Wrast 2008	,		,
 Euchirograspus sp. 	,	 Euchirograpsus 	,		,		,		,		,	Simons 1997	,		,
 Eucratodes agassizi 	,	 Eucratodes agassizii 	,		,		,		,		,	Simons 1997	,		,
 E. superba eggs 	,	 Euphausia superba 	,		,		,		,	egg	,	Barnes 2008	,		,
 E. superba nauplius 	,	 Euphausia superba 	,		,		,		,	nauplius	,	Barnes 2008	,		,
 Euphausa superba 	,	 Euphausia superba 	,		,		,		,		,	Barnes 2008	,		,
 Eupragnatha? sp. 	,	 Euprognatha 	,		,		,		,		,	Simons 1997	,		,
 Eusiridae Genus A 	,	 Eusiridae 	,		,		,		,		,	Simons 1997	,	Genus A	,
 Exocetidae 	,	 Exocoetidae 	,		,		,		,		,	Saloman and Naughton 1983	,		,
 Exogene dispar 	,	 Exogone dispar 	,		,		,		,		,	Simons 1997	,		,
 Exogene dispar? 	,	 Exogone dispar 	,		,		,		,		,	Simons 1997	,		,
 Exogene sp. 	,	 Exogone 	,		,		,		,		,	Simons 1997	,		,
 Litopenaeus aztecus 	,	 Farfantepenaeus aztecus 	,		,		,		,		,	Divita et al 1983	,		,
 Far duoraum 	,	 Farfantepenaeus duorarum 	,		,		,		,		,	Blewett 2006	,		,
 Grooved penaeid 	,	 Farfantepenaeus 	,		,		,		,		,	Wrast 2008	,		,
 Other fundulus species 	,	 Fundulus 	,		,		,		,		,	Akin et al 2006	,		,
 Gastropod operculum 	,	 Gastropoda 	,		,		,	operculum	,		,	Wrast 2008	,		,
 Gastropoda Genus A 	,	 Gastropoda 	,		,		,		,		,	Simons 1997	,	Genus A	,
 Gastropoda Genus B 	,	 Gastropoda 	,		,		,		,		,	Simons 1997	,	Genus B	,
 Gastropod operculum 	,	 Gastropoda 	,		,		,	operculum	,		,	Simons 1997	,		,
 Goniadella nordmanni 	,	 Goniadella 	,		,		,		,		,	Simons 1997	,		,
 Halodule beaudetteiï¿½root 	,	 Halodule beaudettei 	,		,		,	root	,		,	Wrast 2008	,		,
 Harpacticoida copepoda 	,	 Harpacticoida 	,		,		,		,		,	Akin et al 2006	,		,
 Hyperidae 	,	 Hyperiidea 	,		,		,		,		,	Barnes 2008	,		,
 Insect parts 	,	 Insecta 	,		,		,	parts	,		,	Wrast 2008	,		,
 Insect wings 	,	 Insecta 	,		,		,	wings	,		,	Wrast 2008	,		,
 Invertebrata digestate 	,	 Invertebrata 	,	digestate	,		,		,		,	McMichael	,		,
 unidentified invert larva 	,	 Invertebrata 	,		,		,		,	larvae	,	Barnes 2008	,		,
 unidentified invertebrate 	,	 Invertebrata 	,		,		,		,		,	Barnes 2008	,		,
 Kimbergonuphis oligobranchiata 	,	 Kinbergonuphis oligobranchiata 	,		,		,		,		,	Simons 1997	,		,
 Kimbergonuphis cf multidentata 	,	 Kinbergonuphis 	,		,		,		,		,	Simons 1997	,	cf. multidentata	,
 Kimbergonuphis sp. 	,	 Kinbergonuphis 	,		,		,		,		,	Simons 1997	,		,
