"Region","Season","Habitat","Site","Family","Predator Species","TL","Prey Item Species","Prey item","Number","Condition Index","Volume","Percent Content","Prey Item Trophic Level","Notes"
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",231,"Alpheus heterochaelis","Alpheus heterochaelis claws",2,"III",0.02,3.7037037037,2.255,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",224,"Ampelisca spp.","Ampelisca spp.",2,"I",0.005,0.8833922261,2.2625,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",227,"Ampelisca spp.","Ampelisca spp.",17,"I",0.04,9.756097561,2.2625,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",227,"Ampelisca spp.","Ampelisca spp.",3,"I",0.001,0.5494505495,2.2625,
"Lower","Fall","Marsh",2,"Sciaenidae","Pogonias cromis",306,"Ampelisca spp.","Ampelisca spp.",2,"I",0.01,1.4492753623,2.2625,
"Lower","Fall","Marsh",2,"Sciaenidae","Pogonias cromis",322,"Ampelisca spp.","Ampelisca spp.",4,"I",0.008,3.3613445378,2.2625,
"Lower","Fall","Non-Veg ",1,"Sciaenidae","Leiostomus xanthurus",191,"Ampharetidae spp.","Ampharetidae",2,"I",0.2,100,2.2666,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",205,"Amphipoda spp.","Amphipod",2,"I",0.001,1.4084507042,2.225,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",212,"Amphipoda spp.","Amphipod",4,"I",0.01,0.7518796992,2.225,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",237,"Amphipoda spp.","Amphipod",57,"I",0.04,10.8108108108,2.225,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",235,"Amphipoda spp.","Amphipod",3,"I",0.001,0.1248439451,2.225,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",242,"Amphipoda spp.","Amphipod",3,"I",0.01,0.826446281,2.225,
"Upper","Spring","Marsh",2,"Dasyatidae","Dasyatis sabina",137,"Amphipoda spp.","Amphipod",195,"I",0.8,37.7358490566,2.2252,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",380,"Anguilliformes spp.","Anguilliformes",3,"I",1.5,76.9230769231,3.76,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",510,"Anguilliformes spp.","Anguilliformes",1,"I",1,76.9230769231,3.76,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",570,"Anguilliformes spp.","Anguilliformes",1,"I",1.2,6.4690026954,3.76,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",459,"Anguilliformes spp.","Anguilliformes",1,"I",1.5,40.1069518717,3.76,
"Lower","Summer","Non-Veg ",2,"Carcharhinidae","Carcharhinus limbatus",435,"Anguilliformes spp.","Anguilliformes",1,"I",0.1,50,3.76,
"Lower","Fall","Reef",2,"Sciaenidae","Menticirrhus littoralis",219,"Anguilliformes spp.","Anguilliformes",1,"I",0.8,27.5862068966,3.76,
"Lower","Fall","Marsh",1,"Sciaenidae","Pogonias cromis",370,"Anomura spp.","Anomura",1,"II",0.01,1.9569471624,2.32,
"Upper","Fall","Marsh",2,"Ariidae","Arius felis",210,"Araneae spp.","Araneae",1,"I",0.05,5.5555555556,2.5,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",523,"Bivalave spp.","Bivalve",1,"IV",0.04,0.3766478343,2.055,
"Lower","Summer","Reef",2,"Sciaenidae","Cynoscion arenarius",340,"Bivalave spp.","Bivalve",1,"II",0.1,5.2083333333,2.055,
"Lower","Spring","Non-Veg ",1,"Sciaenidae","Menticirrhus littoralis",247,"Bivalave spp.","Bivalve",1,"III",0.8,100,2.055,
"Lower","Summer","Reef",2,"Sciaenidae","Micropogonias undulatus",175,"Bivalave spp.","Bivalve",1,"I",0.01,8.3333333333,2.055,
"Lower","Summer","Reef",2,"Sciaenidae","Micropogonias undulatus",176,"Bivalave spp.","Bivalve",1,"II",0.05,7.6923076923,2.055,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",223,"Brachyura spp. ","Brachyuran larvae",40,"I",0.05,4.5413260672,2.55,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",224,"Brachyura spp. ","Brachyuran larvae",21,"III",0.03,2.8901734104,2.45,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",224,"Brachyura spp. ","Brachyuran larvae",10,"I",0.005,0.0818196694,2.55,
"Lower","Summer","Reef",1,"Ariidae","Bagre marinus",238,"Brachyura spp. ","Brachyuran larvae",6,"I",0.001,0.0708717222,2.55,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",285,"Brevoortia patronus","Brevoortia patronus",1,"II",0.6,66.6666666667,2.75,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",445,"Brevoortia patronus","Brevoortia patronus",1,"I",50,89.1265597148,2.75,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",540,"Brevoortia patronus","Brevoortia patronus",1,"I",54,85.5716662705,2.75,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",295,"Brevoortia patronus","Brevoortia patronus",1,"II",0.4,32.2580645161,2.75,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",259,"Brevoortia patronus","Brevoortia patronus",1,"II",0.6,25.5319148936,2.75,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",410,"Brevoortia patronus","Brevoortia patronus",4,"II",1.1,25,2.75,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",280,"Brevoortia patronus","Brevoortia patronus",1,"II",0.3,37.5,2.75,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",466,"Brevoortia patronus","Brevoortia patronus",2,"I",4,71.4285714286,2.75,
"Upper","Fall","Reef",1,"Ariidae","Bagre marinus",506,"Brevoortia patronus","Brevoortia patronus",1,"II",1,16.393442623,2.75,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",460,"Brevoortia patronus","Brevoortia patronus",3,"II",0.7,52.6315789474,2.75,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",497,"Brevoortia patronus","Brevoortia patronus",1,"II",3.1,26.724137931,2.75,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",552,"Brevoortia patronus","Brevoortia patronus",1,"II",17,68,2.75,
"Upper","Spring","Non-Veg ",2,"Sciaenidae","Bairdiella chrysoura",170,"Brevoortia patronus","Brevoortia patronus",2,"II",0.8,100,2.75,
"Lower","Summer","Reef",2,"Carcharhinidae","Carcharhinus limbatus",606,"Brevoortia patronus","Brevoortia patronus",1,"II",2.5,96.1538461538,2.75,
"Lower","Spring","Reef",2,"Sciaenidae","Cynoscion arenarius",216,"Brevoortia patronus","Brevoortia patronus",2,"II",0.35,77.7777777778,2.75,
"Lower","Summer","Reef",1,"Sciaenidae","Cynoscion nebulosus",438,"Brevoortia patronus","Brevoortia patronus",1,"II",1,50,2.75,
"Upper","Summer","Marsh",2,"Sciaenidae","Cynoscion nebulosus",261,"Brevoortia patronus","Brevoortia patronus",1,"II",0.2,42.5531914894,2.75,
"Upper","Spring","Marsh",2,"Ariidae","Arius felis",287,"Callianassidae spp.","Callianassidae",3,"I",2.6,92.8571428571,2.45,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",268,"Callianassidae spp.","Callianassidae",1,"I",0.3,23.4375,2.45,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",225,"Callianassidae spp.","Callianassidae",2,"I",1,29.4117647059,2.45,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",276,"Callianassidae spp.","Callianassidae",2,"I",4.5,66.9543222735,2.45,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",297,"Callianassidae spp.","Callianassidae",3,"I",0.6,33.1308669244,2.45,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",200,"Callianassidae spp.","Callianassidae",2,"II",1.2,70.5052878966,2.45,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",239,"Callianassidae spp.","Callianassidae",1,"I",0.3,37.3134328358,2.45,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",365,"Callianassidae spp.","Callianassidae",7,"I",5.9,36.3569139758,2.45,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",223,"Callianassidae spp.","Callianassidae",1,"I",0.001,0.0908265213,2.45,
"Upper","Spring","Marsh",1,"Sciaenidae","Sciaenops ocellatus",568,"Callianassidae spp.","Callianassidae",2,"I",3.7,100,2.45,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",214,"Callianassidae spp.","Callianassidae claw",2,"II",0.2,15.3256704981,2.45,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",294,"Callianassidae spp.","Callianassidae claw",1,"II",0.5,17.1174255392,2.45,
"Upper","Fall","Marsh",1,"Ariidae","Arius felis",249,"Callinectes sapidus","Callinectes sapidus",2,"I",0.1,4.7438330171,2.78,
"Upper","Fall","Marsh",2,"Ariidae","Arius felis",210,"Callinectes sapidus","Callinectes sapidus",1,"III",0.1,11.1111111111,2.78,
"Upper","Fall","Marsh",2,"Ariidae","Arius felis",260,"Callinectes sapidus","Callinectes sapidus",2,"I",0.5,40.9836065574,2.78,
"Upper","Fall","Non-Veg ",1,"Ariidae","Arius felis",244,"Callinectes sapidus","Callinectes sapidus",1,"I",0.8,98.7654320988,2.78,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",268,"Callinectes sapidus","Callinectes sapidus",1,"II",0.1,7.8125,2.78,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",214,"Callinectes sapidus","Callinectes sapidus",1,"I",0.6,51.2820512821,2.78,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",167,"Callinectes sapidus","Callinectes sapidus",4,"I",0.5,43.4404865334,2.78,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",365,"Callinectes sapidus","Callinectes sapidus",5,"I",7,43.1353216663,2.78,
"Lower","Fall","Non-Veg ",1,"Ariidae","Bagre marinus",415,"Callinectes sapidus","Callinectes sapidus",1,"I",1,12.1477162293,2.78,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",406,"Callinectes sapidus","Callinectes sapidus",1,"I",1,3.8461538462,2.78,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",445,"Callinectes sapidus","Callinectes sapidus",5,"I",5,8.9126559715,2.78,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",430,"Callinectes sapidus","Callinectes sapidus",1,"I",2.5,45.4545454545,2.78,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",524,"Callinectes sapidus","Callinectes sapidus",1,"III",4,39.9201596806,2.78,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",533,"Callinectes sapidus","Callinectes sapidus",1,"II",0.5,13.8888888889,2.78,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",218,"Callinectes sapidus","Callinectes sapidus",1,"II",4,66.4451827243,2.78,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",570,"Callinectes sapidus","Callinectes sapidus",1,"II",1,5.3908355795,2.78,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",600,"Callinectes sapidus","Callinectes sapidus",1,"I",5,37.5939849624,2.78,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",591,"Callinectes sapidus","Callinectes sapidus",1,"I",10,28.7191269385,2.78,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",590,"Callinectes sapidus","Callinectes sapidus",1,"I",12.5,93.2835820896,2.78,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",523,"Callinectes sapidus","Callinectes sapidus",2,"I",8,75.329566855,2.78,
"Upper","Spring","Reef",2,"Ariidae","Bagre marinus",457,"Callinectes sapidus","Callinectes sapidus",1,"I",10,71.9424460432,2.78,
"Upper","Spring","Reef",2,"Ariidae","Bagre marinus",515,"Callinectes sapidus","Callinectes sapidus",1,"I",2.5,62.1890547264,2.78,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",609,"Callinectes sapidus","Callinectes sapidus",1,"I",8,77.8967867575,2.78,
"Upper","Summer","Reef",2,"Ariidae","Bagre marinus",262,"Callinectes sapidus","Callinectes sapidus",1,"I",0.05,2.8571428571,2.78,
"Upper","Summer","Reef",2,"Ariidae","Bagre marinus",460,"Callinectes sapidus","Callinectes sapidus",1,"I",2,16.2601626016,2.78,
"Upper","Summer","Reef",2,"Ariidae","Bagre marinus",593,"Callinectes sapidus","Callinectes sapidus",1,"I",10,52.6315789474,2.78,
"Lower","Summer","Marsh",1,"Sciaenidae","Cynoscion nebulosus",293,"Callinectes sapidus","Callinectes sapidus",1,"I",0.2,50,2.78,
"Upper","Summer","Marsh",2,"Sciaenidae","Cynoscion nebulosus",261,"Callinectes sapidus","Callinectes sapidus",1,"I",0.05,10.6382978723,2.78,
"Lower","Fall","Reef",2,"Sciaenidae","Menticirrhus littoralis",220,"Callinectes sapidus","Callinectes sapidus",1,"I",0.2,19.6078431373,2.78,
"Lower","Spring","Non-Veg ",2,"Sciaenidae","Menticirrhus littoralis",245,"Callinectes sapidus","Callinectes sapidus",1,"II",0.1,100,2.78,
"Upper","Fall","Reef",1,"Sciaenidae","Menticirrhus littoralis",239,"Callinectes sapidus","Callinectes sapidus",1,"I",0.5,38.4615384615,2.78,
"Upper","Spring","Reef",1,"Sciaenidae","Menticirrhus littoralis",270,"Callinectes sapidus","Callinectes sapidus",3,"I",2.5,81.1688311688,2.78,
"Lower","Fall","Marsh",1,"Sciaenidae","Sciaenops ocellatus",420,"Callinectes sapidus","Callinectes sapidus",2,"I",8,65.0406504065,2.78,
"Lower","Fall","Marsh",2,"Sciaenidae","Sciaenops ocellatus",355,"Callinectes sapidus","Callinectes sapidus",1,"I",3.5,62.1669626998,2.78,
"Lower","Summer","Non-Veg ",1,"Sphyrnidae","Sphyrna tiburo",600,"Callinectes sapidus","Callinectes sapidus",7,"I",22,95.0323974082,2.78,
"Lower","Summer","Non-Veg ",1,"Sphyrnidae","Sphyrna tiburo",629,"Callinectes sapidus","Callinectes sapidus",8,"I",24,82.332761578,2.78,
"Lower","Summer","Reef",1,"Sphyrnidae","Sphyrna tiburo",605,"Callinectes sapidus","Callinectes sapidus",14,"I",26.5,88.4808013356,2.78,
"Lower","Summer","Reef",2,"Sphyrnidae","Sphyrna tiburo",652,"Callinectes sapidus","Callinectes sapidus",7,"I",21,75.9493670886,2.78,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",326,"Pleocyemata spp.","Crab",1,"III",0.1,8.6956521739,2.52,
"Upper","Fall","Non-Veg ",2,"Ariidae","Arius felis",165,"Pleocyemata spp.","Crab",1,"II",0.05,32.2580645161,2.52,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",214,"Pleocyemata spp.","Crab",4,"II",0.4,18.6046511628,2.52,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",540,"Pleocyemata spp.","Crab",1,"III",2.5,3.9616512162,2.52,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",460,"Pleocyemata spp.","Crab",1,"II",0.25,4.7619047619,2.52,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",427,"Pleocyemata spp.","Crab",1,"III",0.2,2.6315789474,2.52,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",235,"Pleocyemata spp.","Crab claw",2,"II",0.3,37.4531835206,2.52,
"Lower","Spring","Reef",2,"Ariidae","Arius felis",402,"Pleocyemata spp.","Crab claw",1,"II",0.2,18.1818181818,2.52,
"Upper","Fall","Reef",2,"Ariidae","Arius felis",224,"Pleocyemata spp.","Crab claw",1,"III",0.001,0.289017341,2.52,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",238,"Pleocyemata spp.","Crab claw",2,"III",0.1,8.6956521739,2.52,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",297,"Pleocyemata spp.","Crab claw",1,"III",0.03,0.5681818182,2.52,
"Lower","Summer","Reef",1,"Ariidae","Bagre marinus",238,"Pleocyemata spp.","Crab claw",2,"III",0.15,10.6307583274,2.52,
"Upper","Summer","Reef",2,"Ariidae","Bagre marinus",262,"Pleocyemata spp.","Crab claw",1,"I",1.5,85.7142857143,2.52,
"Upper","Summer","Reef",2,"Ariidae","Bagre marinus",625,"Pleocyemata spp.","Crab claw",1,"III",0.1,1.4084507042,2.52,
"Upper","Fall","Marsh",1,"Ariidae","Arius felis",249,"Pleocyemata spp.","Crab parts",1,"III",0.6,28.4629981025,2.52,
"Upper","Fall","Reef",2,"Ariidae","Arius felis",215,"Pleocyemata spp.","Crab parts",1,"II",0.15,53.3807829181,2.52,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",225,"Pleocyemata spp.","Crab parts",1,"III",1,29.4117647059,2.52,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",283,"Pleocyemata spp.","Crab parts",1,"III",0.4,33.2778702163,2.52,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",274,"Pleocyemata spp.","Crab parts",1,"II",0.25,50,2.52,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",392,"Pleocyemata spp.","Crab parts",1,"III",0.3,13.0434782609,2.52,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",609,"Pleocyemata spp.","Crab parts",1,"III",0.65,6.3291139241,2.52,
"Lower","Summer","Reef",1,"Carangidae ","Caranx hippos",175,"Pleocyemata spp.","Crab parts",1,"III",0.05,2.8571428571,2.52,
"Upper","Fall","Reef",1,"Sciaenidae","Menticirrhus littoralis",239,"Pleocyemata spp.","Crab parts",1,"III",0.4,30.7692307692,2.52,
"Lower","Summer","Reef",2,"Sciaenidae","Micropogonias undulatus",175,"Actinopterygii spp.","Ctenoid scale",1,"IV",0.005,4.1666666667,3.24,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",278,"Decapoda spp.","Decapod",1,"III",1.5,40.9836065574,2.84,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",275,"Decapoda spp.","Decapod carapace",1,"III",0.2,22.4719101124,2.84,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",510,"Decapoda spp.","Decapod carapace",1,"III",0.1,7.6923076923,2.84,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",223,"Decapoda spp.","Decapod carapace",1,"III",0.05,4.5413260672,2.84,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",224,"Decapoda spp.","Decapod carapace",1,"III",0.015,0.2454590083,2.84,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",545,"Decapoda spp.","Decapod carapace",1,"III",0.2,1.6326530612,2.84,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",564,"Decapoda spp.","Decapod carapace",1,"III",0.6,11.6504854369,2.84,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",539,"Decapoda spp.","Decapod carapace",1,"III",0.5,6.7385444744,2.84,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",176,"Decapoda spp.","Decapod legs",1,"II",0.01,3.3333333333,2.84,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",239,"Decapoda spp.","Decapod legs",2,"II",0.08,34.7826086957,2.84,
"Upper","Fall","Reef",1,"Ariidae","Arius felis",221,"Decapoda spp.","Decapod legs",2,"II",0.02,25,2.84,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",214,"Pleocyemata spp.","Decapod legs",2,"III",0.8,61.3026819923,2.84,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",221,"Decapoda spp.","Decapod legs",2,"I",0.7,90.9090909091,2.84,
"Upper","Fall","Non-Veg ",2,"Sciaenidae","Leiostomus xanthurus",167,"Detritus","Detrital sediment",1,"IV",0.002,100,1,
"Lower","Spring","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",192,"Detritus","Detrital sediment",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",152,"Detritus","Detritus",1,"IV",0.06,100,1,
"Lower","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",157,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",159,"Detritus","Detritus",1,"IV",0.05,100,1,
"Lower","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",163,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.05,100,1,
"Lower","Fall","Non-Veg ",2,"Clupeidae","Brevoortia patronus",152,"Detritus","Detritus",1,"IV",0.05,100,1,
"Lower","Fall","Non-Veg ",2,"Clupeidae","Brevoortia patronus",168,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",2,"Clupeidae","Brevoortia patronus",174,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",2,"Clupeidae","Brevoortia patronus",237,"Detritus","Detritus",1,"IV",0.08,100,1,
"Lower","Fall","Reef",1,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.04,100,1,
"Lower","Fall","Reef",1,"Clupeidae","Brevoortia patronus",175,"Detritus","Detritus",1,"IV",0.04,100,1,
"Lower","Fall","Reef",1,"Clupeidae","Brevoortia patronus",178,"Detritus","Detritus",1,"IV",0.08,100,1,
"Lower","Fall","Reef",1,"Clupeidae","Brevoortia patronus",192,"Detritus","Detritus",1,"IV",0.05,100,1,
"Lower","Fall","Reef",1,"Clupeidae","Brevoortia patronus",203,"Detritus","Detritus",1,"IV",0.04,100,1,
"Lower","Fall","Reef",2,"Clupeidae","Brevoortia patronus",156,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Reef",2,"Clupeidae","Brevoortia patronus",157,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Reef",2,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Reef",2,"Clupeidae","Brevoortia patronus",170,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Reef",2,"Clupeidae","Brevoortia patronus",222,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",152,"Detritus","Detritus",1,"IV",0.008,100,1,
"Lower","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.006,100,1,
"Lower","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",175,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",180,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Spring","Reef",1,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Spring","Reef",1,"Clupeidae","Brevoortia patronus",165,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Spring","Reef",2,"Clupeidae","Brevoortia patronus",155,"Detritus","Detritus",1,"IV",0.001,100,1,
"Lower","Spring","Reef",2,"Clupeidae","Brevoortia patronus",165,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Spring","Reef",2,"Clupeidae","Brevoortia patronus",169,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Spring","Reef",2,"Clupeidae","Brevoortia patronus",170,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Spring","Reef",2,"Clupeidae","Brevoortia patronus",203,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",159,"Detritus","Detritus",1,"IV",0.008,100,1,
"Lower","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",163,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",148,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",159,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",163,"Detritus","Detritus",1,"IV",0.005,100,1,
"Lower","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",167,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",187,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Summer","Reef",1,"Clupeidae","Brevoortia patronus",146,"Detritus","Detritus",1,"IV",0.008,100,1,
"Lower","Summer","Reef",1,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.001,100,1,
"Lower","Summer","Reef",1,"Clupeidae","Brevoortia patronus",165,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Summer","Reef",1,"Clupeidae","Brevoortia patronus",166,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Summer","Reef",2,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.005,100,1,
