Season,Month,Day,Year,Region,Habitat,Site,Predator Family,Predator Species,TL (mm),Call #,Stomach Fullness Index,Prey Item Phylum (Division),Prey Item Class,Prey Item Order, Prey Item Family,Prey item,Number,Condition Index,Volume (ml??),Percent Content
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,294,7,2,Chrodata,,,,Parasite,25,I,0.0200,0.68
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,239,8,1,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,1,I,0.3000,37.31
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,239,8,1,,,,,Digestate,1,IV,0.5000,62.19
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,239,8,1,Vertebrata,Actinopterygii,,,Fish scale,1,III,0.0010,0.12
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,239,8,1,Mollusca,Gastropoda,,,Gastropod operculum,1,III,0.0010,0.12
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,239,8,1,Chrodata,,,,Parasite,5,I,0.0020,0.25
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,200,9,2,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,2,II,1.2000,70.51
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,200,9,2,,,,,Digestate,1,IV,0.4000,23.50
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,200,9,2,Arthropoda,Malacostraca,Mysida,,Mysidae,1,II,0.0010,0.06
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,200,9,2,Chrodata,,,,Parasite,1,I,0.0010,0.06
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,200,9,2,Annelida,Polychaeta,Canalipalpata,Terebellidae ,Terebellidae ,1,I,0.1000,5.88
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,283,10,1,Arthropoda,Malacostraca,Decapoda,,Crab parts,1,III,0.4000,33.28
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,283,10,1,Magnoliophyta,Liliopsida,Najadales,Cymodoceaceae,Halodule beaudettei�root,1,IV,0.0010,0.08
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,283,10,1,Chrodata,,,,Parasite,1,I,0.0010,0.08
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,283,10,1,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca spp.,1,I,0.8000,66.56
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,258,11,3,Arthropoda,Malacostraca,Decapoda,Peneaidae,Litopenaeus setiferus�,5,I,1.3000,76.47
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,258,11,3,Arthropoda,Malacostraca,Decapoda,Peneaidae,Penaeid shrimp,7,II,0.4000,23.53
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,261,12,2,Vertebrata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia patronus,1,II,0.2000,42.55
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,261,12,2,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes sapidus,1,I,0.0500,10.64
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,261,12,2,,,,,Digestate,1,IV,0.0700,14.89
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,261,12,2,Arthropoda,Malacostraca,Decapoda,Peneaidae,Penaeid shrimp,1,I,0.1500,31.91
Summer,7,25,2006,Upper,Marsh edge,2,Sciaenidae,Cynoscion nebulosus,260,13,3,Arthropoda,Malacostraca,Decapoda,Peneaidae,Litopenaeus setiferus�,15,I,2.2000,100.00
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,7,I,5.9000,36.36
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes sapidus,5,I,7.0000,43.14
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,,,,,Digestate,1,IV,3.0000,18.49
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,Vertebrata,Actinopterygii,,,Fish Eyeball,1,III,0.0080,0.05
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,Chrodata,,,,Parasite,11,I,0.0200,0.12
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,365,14,4,Plantae,,,,Wood,1,IV,0.3000,1.85
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,609,15,1,,,,,Digestate,1,IV,4.0000,98.16
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,609,15,1,Mollusca,Bivalvia,Mytiloida,Mytilidae,Ischadium recurvum�,1,III,0.0750,1.84
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,497,16,2,Vertebrata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia patronus,1,II,3.1000,26.72
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,497,16,2,,,,,Digestate,1,IV,3.0000,25.86
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,497,16,2,Vertebrata,Actinopterygii,,,Fish scale,6,III,0.5000,4.31
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,497,16,2,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,1,I,5.0000,43.10
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,480,17,1,,,,,Digestate,1,IV,1.6000,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,394,18,1,,,,,Digestate,1,IV,0.8000,44.44
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,394,18,1,Vertebrata,Actinopterygii,,,Fish bone,2,III,1.0000,55.56
Summer,7,25,2006,Upper,Non-Veg ,1,Ariidae,Bagre marinus,265,19,1,,,,,Digestate,1,IV,1.0000,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Clupeidae,Brevoortia patronus,287,20,1,Plantae,,,,Detritus,1,IV,0.0020,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Clupeidae,Brevoortia patronus,197,21,2,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Clupeidae,Brevoortia patronus,321,22,1,Plantae,,,,Detritus,1,IV,0.0100,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Clupeidae,Brevoortia patronus,159,23,1,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Clupeidae,Brevoortia patronus,174,24,2,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Non-Veg ,1,Scombridae,Scomberomorus maculatus,539,25,0,,,,,Empty,0,NA,0.0000,0.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,235,26,3,,,,,Digestate,1,IV,0.3000,56.60
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,235,26,3,Vertebrata,Actinopterygii,,,Fish bone,1,III,0.1500,28.30
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,235,26,3,Arthropoda,insecta,,,Insect parts,1,III,0.0800,15.09
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,252,27,1,,,,,Digestate,1,IV,0.5000,71.33
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,252,27,1,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,1,III,0.2000,28.53
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,252,27,1,Vertebrata,Actinopterygii,,,Otolith,2,III,0.0010,0.14
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,392,28,1,Arthropoda,Malacostraca,Decapoda,,Crab parts,1,III,0.3000,13.04
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,392,28,1,,,,,Digestate,1,IV,0.8000,34.78
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,392,28,1,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,1,I,1.2000,52.17
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,239,29,1,,,,,Digestate,1,IV,0.2000,80.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,239,29,1,Mollusca,Gastropoda,,,Gastropod operculum,1,III,0.0500,20.00
Summer,7,25,2006,Upper,Non-Veg ,2,Clupeidae,Brevoortia patronus,171,30,1,Plantae,,,,Detritus,1,IV,0.0100,100.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,609,31,1,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes sapidus,1,I,8.0000,77.90
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,609,31,1,Arthropoda,Malacostraca,Decapoda,,Crab parts,1,III,0.6500,6.33
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,609,31,1,,,,,Digestate,1,IV,1.6000,15.58
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,609,31,1,Vertebrata,Actinopterygii,,,Fish Eyeball,2,III,0.0200,0.19
Summer,7,25,2006,Upper,Non-Veg ,2,Clupeidae,Brevoortia patronus,204,32,1,Plantae,,,,Detritus,1,IV,0.0400,100.00
Summer,7,25,2006,Upper,Non-Veg ,2,Clupeidae,Brevoortia patronus,216,33,1,Plantae,,,,Detritus,1,IV,0.0300,100.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,539,34,2,Arthropoda,Malacostraca,Decapoda,,Decapod carapace,1,III,0.5000,6.74
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,539,34,2,,,,,Digestate,1,IV,4.9000,66.04
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,539,34,2,Vertebrata,Actinopterygii,,,Fish Eyeball,3,III,0.0200,0.27
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Bagre marinus,539,34,2,Vertebrata,Actinopterygii,,,Fish bone,1,III,2.0000,26.95
Summer,7,25,2006,Upper,Non-Veg ,2,Clupeidae,Brevoortia patronus,337,35,2,Plantae,,,,Detritus,1,IV,0.0500,100.00
Summer,7,25,2006,Upper,Non-Veg ,2,Elopidae,Elops saurus,348,36,1,,,,,Digestate,1,IV,0.3500,100.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,274,37,2,Arthropoda,Malacostraca,Decapoda,,Crab parts,1,II,0.2500,50.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,274,37,2,,,,,Digestate,1,IV,0.2000,40.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,274,37,2,Mollusca,Bivalvia,Ostreoida,Ostreidae,Oyster shell hash,1,IV,0.0500,10.00
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,272,38,1,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus heterochaelis,1,I,0.2000,28.57
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,272,38,1,,,,,Digestate,1,IV,0.5000,71.43
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,231,39,2,Plantae,,,,Algae,1,IV,0.2000,37.04
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,231,39,2,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus heterochaelis claws,2,III,0.0200,3.70
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,231,39,2,,,,,Digestate,1,IV,0.3000,55.56
Summer,7,25,2006,Upper,Non-Veg ,2,Ariidae,Arius felis,231,39,2,Arthropoda,Malacostraca,Decapoda,Xanthidae,Xanthidae,1,I,0.0200,3.70
Summer,7,25,2006,Upper,Non-Veg ,2,Clupeidae,Brevoortia patronus,173,40,1,Plantae,,,,Detritus,1,IV,0.0100,100.00
Summer,7,25,2006,Upper,Reef,1,Stromateidae,Peprilus paru,166,41,1,,,,,Digestate,1,IV,0.0500,100.00
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,320,42,1,,,,,Digestate,1,IV,0.1500,100.00
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,222,43,3,,,,,Digestate,1,IV,0.0100,0.46
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,222,43,3,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,2,I,0.4000,18.52
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,222,43,3,Arthropoda,Malacostraca,Decapoda,Panopeidae�,Neopanope texana,9,I,1.5500,71.76
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,222,43,3,Mollusca,Bivalvia,Ostreoida,Ostreidae,Oyster shell hash,2,IV,0.1000,4.63
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,222,43,3,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes vulgaris,1,I,0.1000,4.63
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,203,44,3,,,,,Digestate,1,IV,0.3000,19.35
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,203,44,3,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,3,I,0.4000,25.81
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,203,44,3,Arthropoda,Malacostraca,Decapoda,Panopeidae�,Neopanope texana,7,I,0.5500,35.48
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,203,44,3,Arthropoda,Malacostraca,Decapoda,Xanthidae,Xanthidae,11,II,0.3000,19.35
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,152,45,1,,,,,Digestate,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,278,46,4,Arthropoda,Malacostraca,Decapoda,,Decapod,1,III,1.5000,40.98
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,278,46,4,,,,,Digestate,1,IV,0.1500,4.10
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,278,46,4,Chrodata,,,,Parasite,1,I,0.0100,0.27
Summer,7,25,2006,Upper,Reef,1,Ariidae,Arius felis,278,46,4,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla empusa,1,I,2.0000,54.64
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,221,47,2,Arthropoda,Malacostraca,Decapoda,,Decapod legs,2,I,0.7000,90.91
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,221,47,2,,,,,Digestate,1,IV,0.0700,9.09
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,231,48,1,,,,,Digestate,1,IV,0.0500,46.30
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,231,48,1,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina claw,1,I,0.0500,46.30
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,231,48,1,Arthropoda,Malacostraca,Mysida,,Mysidae,1,I,0.0080,7.41
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,552,49,3,Vertebrata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia patronus,1,II,17.0000,68.00
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,552,49,3,,,,,Digestate,1,IV,8.0000,32.00
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,502,50,2,,,,,Digestate,1,IV,7.0000,96.81
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,502,50,2,Vertebrata,Actinopterygii,,,Fish bone,1,III,0.0500,0.69
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,502,50,2,Vertebrata,Actinopterygii,,,Fish Tissue,1,II,0.1800,2.49
Summer,7,25,2006,Upper,Reef,1,Ariidae,Bagre marinus,502,50,2,Vertebrata,Actinopterygii,,,Otolith,1,III,0.0010,0.01
Summer,7,25,2006,Upper,Reef,1,Clupeidae,Brevoortia patronus,157,51,2,Plantae,,,,Detritus,1,IV,0.0100,100.00
Summer,7,25,2006,Upper,Reef,1,Clupeidae,Brevoortia patronus,184,52,2,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Reef,1,Clupeidae,Brevoortia patronus,165,53,1,Plantae,,,,Detritus,1,IV,0.0080,100.00
Summer,7,25,2006,Upper,Reef,1,Clupeidae,Brevoortia patronus,185,54,1,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Reef,1,Clupeidae,Brevoortia patronus,168,55,1,Plantae,,,,Detritus,1,IV,0.0200,100.00
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,220,56,2,,,,,Digestate,1,IV,0.4000,55.56
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,220,56,2,Mollusca,Gastropoda,,,Gastropod operculum,1,III,0.0200,2.78
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,220,56,2,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,2,II,0.3000,41.67
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,214,57,3,Arthropoda,Malacostraca,Decapoda,,Crab,4,II,0.4000,18.60
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,214,57,3,,,,,Digestate,1,IV,1.0000,46.51
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,214,57,3,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,2,I,0.2000,9.30
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,214,57,3,Arthropoda,Malacostraca,Decapoda,Panopeidae�,Neopanope texana,2,I,0.4000,18.60
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,214,57,3,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolithes armatus,2,I,0.1500,6.98
Summer,7,25,2006,Upper,Reef,2,Ariidae,Bagre marinus,593,58,3,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes sapidus,1,I,10.0000,52.63
Summer,7,25,2006,Upper,Reef,2,Ariidae,Bagre marinus,593,58,3,,,,,Digestate,1,IV,7.0000,36.84
Summer,7,25,2006,Upper,Reef,2,Ariidae,Bagre marinus,593,58,3,Vertebrata,Actinopterygii,,,Fish bone,2,III,2.0000,10.53
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,216,59,3,,,,,Digestate,1,IV,0.0150,4.11
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,216,59,3,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,1,I,0.3500,95.89
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,233,60,4,,,,,Digestate,1,IV,0.2000,12.90
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,233,60,4,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe adina,4,I,0.6000,38.71
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,233,60,4,Arthropoda,Malacostraca,Decapoda,Panopeidae�,Neopanope texana,6,I,0.7000,45.16
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,233,60,4,Mollusca,Bivalvia,Ostreoida,Ostreidae,Oyster shell hash,1,IV,0.0500,3.23
Summer,7,25,2006,Upper,Reef,2,Ariidae,Bagre marinus,625,61,2,Arthropoda,Malacostraca,Decapoda,,Crab claw,1,III,0.1000,1.41
Summer,7,25,2006,Upper,Reef,2,Ariidae,Bagre marinus,625,61,2,,,,,Digestate,1,IV,7.0000,98.59
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,238,62,2,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus heterochaelis,1,III,0.1000,8.70
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,238,62,2,Arthropoda,Malacostraca,Decapoda,,Crab claw,2,III,0.1000,8.70
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,238,62,2,,,,,Digestate,1,IV,0.9000,78.26
Summer,7,25,2006,Upper,Reef,2,Ariidae,Arius felis,238,62,2,Mollusca,Bivalvia,Ostreoida,Ostreidae,Oyster shell hash,1,IV,0.0500,4.35
Summer,7,25,2006,Upper,Reef,2,Sciaenidae,Cynoscion arenarius,238,63,2,Vertebrata,Actinopterygii,,,Fish Tissue,1,II,0.0500,50.00
Summer,7,25,2006,Upper,Reef,2,Sciaenidae,Cynoscion arenarius,238,63,2,Arthropoda,Malacostraca,Decapoda,Peneaidae,Penaeid shrimp,1,I,0.0500,50.00
