System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
CSM	44	44	1	adult	44.1	Polydora nuchalis	annelid	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.00323541	0.00121828	48	population	individuals encountered during the random sampling described in Kuris et al. (2008)	515707.02	635293.686	5.13186183	1.6343817	1.80376562	7.0079455	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Spionidae	Polydora	nuchalis	
CSM	50	25	2	larva	25.2	Capitella capitata	annelid	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.3697e-5		10	approximation	estimated volumetrically from a CSM plankton sample				0.0298075			quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Annelida			Polychaeta						Capitellidae	Capitella	capitata	
CSM	68	44	2	larva	44.2	Polydora nuchalis	annelid	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.3697e-5		10	approximation	estimated volumetrically from a CSM plankton sample				0.0186637			quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Annelida			Polychaeta						Spionidae	Polydora	nuchalis	
CSM	71	47	1	adult	47.1	leech(glossiphonid)	leech	taxon	Family		feeding	free-living	free-living	micropredator																		Animalia	Annelida			Hirudinoidea						Glossiphoniidae			
CSM	74	50	1	adult	50.1	Carcinonemertes sp.	nemertean	taxon	Species		feeding	infectious	infectious	macroparasite					0.000176			species	volumetric; literature (mean L from Kuris 1978 & lxw ratio from Shields & Kuris 1989)									Animalia	Nemertea									Carcinonemertidae	Carcinonemertes	sp.	also considered a "symbiotic egg predator"
CSM	75	51	1	adult	51.1	Carinoma mutabilis	nemertean	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00192876	0.00048389	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	52750.12	108554.749	7.01013862	0.1062877	0.22903809	7.00158123	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Nemertea									Carinomidae	Carinoma	mutabilis	
CSM	77	53	1	adult	53.1	nemertean	nemertean	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00162242		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	15105.15	35718.0023	7	0.0245069	0.05794968	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Nemertea												
CSM	85	61	1	adult	61.1	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.35478198	0.28195689	34	population	individuals encountered during the random sampling described in Kuris et al. (2008)	34347.38	38177.8568	7	12.185831	12.0927894	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
CSM	88	64	1	adult	64.1	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		6.59637917	4.43703093	78	population	individuals encountered during the random sampling described in Kuris et al. (2008)	76776.49	70215.6109	7	519.40736	475.265182	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
CSM	89	65	1	adult	65.1	White Sand Macoma	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		26.0738713	17.365777	8	population	individuals encountered during the random sampling described in Kuris et al. (2008)	8081.74	14446.0053	7	210.72214	373.493639	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	secta	
CSM	90	66	1	adult	66.1	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident															Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	91	67	1	adult	67.1	California Mahogany Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		44.6619368		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1010.22	2388.78359	7	45.118247	106.687702	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Nuttallia	nuttallii	
CSM	92	68	1	adult	68.1	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		18.652076	11.4342539	33	population	individuals encountered during the random sampling described in Kuris et al. (2008)	30306.51	32251.7381	7	569.15303	601.444886	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
CSM	94	70	1	adult	70.1	Butter Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		152.991665		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1010.22	2388.78359	7	151.8597	359.091128	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Veneridae	Saxidomus	nuttalli	
CSM	95	71	1	adult	71.1	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		6.5695182		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	2020.43	3127.65189	7	33.00865	62.0920698	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
CSM	96	72	1	adult	72.1	California Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		20.0794771	7.54982449	14	population	individuals encountered during the random sampling described in Kuris et al. (2008)	13132.82	25775.4699	7	257.61279	537.179582	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	californianus	
CSM	97	73	1	adult	73.1	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		low	resident		9.80811218	6.929896	32	population	individuals encountered during the random sampling described in Kuris et al. (2008)	32326.94	44083.9918	7	317.06629	529.496172	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
CSM	101	61	2	larva	61.2	California Softshell Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0001898			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Myidae	Cryptomya	californica	
CSM	104	64	2	larva	64.2	Bent-nosed Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0080906			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	nasuta	
CSM	105	65	2	larva	65.2	White Sand Macoma	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0032823			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Tellinidae	Macoma	secta	
CSM	106	66	2	larva	66.2	Blue Mussel	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples									Animalia	Mollusca			Bivalvia						Mytilidae	Mytilus	galloprovincialis	
CSM	107	67	2	larva	67.2	California Mahogany Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0007028			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Nuttallia	nuttallii	
CSM	108	68	2	larva	68.2	Pacific Littleneck Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0088654			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Protothaca	staminea	
CSM	110	70	2	larva	70.2	Butter Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0023654			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Veneridae	Saxidomus	nuttalli	
CSM	111	71	2	larva	71.2	Fat Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0005142			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	affinis	
CSM	112	72	2	larva	72.2	California Jackknife Clam	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0040127			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	californianus	
CSM	113	73	2	larva	73.2	Lesser Tagelus	bivalve	life stage	Species		feeding	free-living	free-living	predator		high	resident		3.63288e-5			approximation	average bivalve veliger encountered in csm plankton samples				0.0049388			extrapolation and quantified apportionment	apportioned polychaete larvae and bivalve larvae biomass (quantified in samples from 5 csm channel and 1 csm pan site) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries)	Animalia	Mollusca			Bivalvia						Psammobiidae	Tagelus	subteres	
CSM	115	75	1	adult	75.1	Acteocina inculta	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00735517	0.00446243	24	population	individuals encountered during the random sampling described in Kuris et al. (2008)	335929.23	426959.538	7.01997709	2.2624235	2.38053571	8.24191093	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Scaphandridae	Acteocina	inculta	
CSM	116	76	1	adult	76.1	California Assiminea	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00201946	0.00069841	21	population	individuals encountered during the random sampling described in Kuris et al. (2008)	3097911.13	2622591.68	4	6.2561136	5.02173745	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Assimineidae	Assiminea	californica	
CSM	119	79	1	adult	79.1	California Horn Snail	snail	taxon	Species		feeding	free-living	free-living	predator		low	resident		1.2137299	0.40252687	1175	population	individuals encountered during the random sampling described in Kuris et al. (2008)	131400.02	94146.5794	10.4601029	143.83576	102.816467	11.4817604	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Potamididae	Cerithidea	californica	
CSM	122	82	1	adult	82.1	Salt Marsh Snail	snail	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.21034532	0.11792447	87	population	individuals encountered during the random sampling described in Kuris et al. (2008)	404504.32	503973.539	4	85.015283	84.1921254	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Mollusca			Gastropoda						Ellobiidae	Melampus	olivaceus	
CSM	126	86	1	adult	86.1	Black Salt Marsh Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.0025			species	literature (Koenraadt 2008) mass of congener, A. aegypti									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Aedes	taeniorhynchus	
CSM	127	87	1	adult	87.1	Argulus	branchiuran	taxon	Genus		feeding	free-living	free-living	micropredator					0.000264			species	volumetric; from photo on web									Animalia	Arthropoda	Crustacea		Branchiura						Argulidae	Argulus		
CSM	129	89	1	adult	89.1	corophiid?	amphipod	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00573086	0.00497556	70	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1057360.45	1665065.41	7	6.0595817	9.27579308	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Amphipoda				Corophiidae			
CSM	130	90	1	adult	90.1	Western Encephalitis Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	micropredator		intermediate	resident		0.00217			species	literature (Gray & Bradley 2003)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Culex	tarsalis	
CSM	132	92	1	adult	92.1	cyclopoid copepod	copepod	taxon	Order		feeding	free-living	free-living	predator		low	resident		8.28262e-6		9	species	volumetric				0.0246359			quantification, limited sampling	csm plankton cores (5 channel and 1 pan site)	Animalia	Arthropoda	Crustacea		Copepoda		Cyclopoida							
CSM	133	93	1	adult	93.1	dipteran b	dipteran	life stage	Species		feeding	free-living	free-living	detritivore		intermediate	resident		0.00942176			approximation	set equal to size of pupa				0.0389175			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Diptera							
CSM	134	94	1	adult	94.1	Ephydra	dipteran	life stage	Species		feeding	free-living	free-living	predator		intermediate	resident		0.03373598			approximation	estimate (0 .75 larva)				0.2948143			biomass vs. body size relationship	known biomass v. body size relationship across species (Hechinger et al. in prep))	Animalia	Arthropoda	Hexapoda				Diptera				Ephydridae			
CSM	139	99	1	adult	99.1	green gammaridean	amphipod	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00461043		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	15105.15	35718.0023	7	0.0696413	0.16467542	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Amphipoda	Gammaridea						
CSM	140	100	1	adult	100.1	harpacticoid	copepod	taxon	Order		feeding	free-living	free-living	predator		low	resident		5.17016e-6			approximation	approximated to copepod.thalassinidean				0.1384038			quantification, limited sampling	csm plankton cores (5 channel and 1 pan site)	Animalia	Arthropoda	Crustacea		Copepoda		Harpacticoida							
CSM	142	102	1	adult	102.1	oniscidean	isopod	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00242802	0.00207876	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	590078.31	1638320.04	4	1.4327233	3.97787753	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Isopoda	Oniscidea						
CSM	144	104	1	adult	104.1	ostracod-planktonic	ostracod	taxon	Class		feeding	free-living	free-living	predator		low	resident		3.61052e-5		2	species	volumetric				0.1182526			quantification, limited sampling	csm plankton cores (5 channel and 1 pan site)	Animalia	Arthropoda	Crustacea		Ostracoda									
CSM	146	106	1	adult	106.1	Pardosa sp.	spider	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.01040481		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	147519.58	409580.009	4	1.5349126	4.2616007	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Chelicerata		Arachnida		Aranae				Lycosidae	Pardosa	sp.	
CSM	149	109	1	adult	109.1	Salt Marsh Hopper	amphipod	taxon	Species		feeding	free-living	free-living	detritivore		low	resident		0.00360519			species	set equal to body size of those at bsq				3.3067643			extrapolation from other estuary	set = to bsq; know is present, not adequately sampled, but important resource)	Animalia	Arthropoda	Crustacea		Malacostraca		Amphipoda				Talitridae	Traskorchestia	traskiana	
CSM	150	110	1	adult	110.1	Salt Marsh Water Boatman	water boatman	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.00360519			approximation	approximated to Traskorchestia traskiana				0.726149			biomass vs. body size relationship	known biomass v. body size relationship across species (Hechinger et al. in prep))	Animalia	Arthropoda	Hexapoda				Hemiptera				Corixidae	Trichocorixia	sp.	
CSM	151	86	2	larva	86.2	Black Salt Marsh Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.0025			species	weight of congener (Koenraadt 2008)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Aedes	taeniorhynchus	
CSM	152	90	2	larva	90.2	Western Encephalitis Mosquito	mosquito	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00217			species	estimate from literature (Gray & Bradley 2003)									Animalia	Arthropoda	Hexapoda				Diptera				Culicidae	Culex	tarsalis	
CSM	153	93	2	larva	93.2	dipteran b	dipteran	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00685528	0.00579397	5	population	volumetric	56770.08	157618.997	4	0.3891749	1.08052265	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Diptera							
CSM	154	94	2	larva	94.2	Ephydra	dipteran	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.0449813	0.03848365	6	population	volumetric	71538.81	64119.6456	10.5037476	2.948143	3.24215039	12.2680958	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Diptera				Ephydridae			
CSM	155	93	3	pupa	93.3	dipteran b	dipteran	life stage	Species		nonfeeding	free-living	free-living	nonfeeding		low	resident		0.00942176		1	population	volumetric				0.1069748			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Diptera							
CSM	156	94	3	pupa	94.3	Ephydra	dipteran	life stage	Species		nonfeeding	free-living	free-living	nonfeeding		low	resident		0.0449813			approximation	set equal to mass of larva				0.3891749			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Hexapoda				Diptera				Ephydridae			
CSM	157	111	1	adult	111.1	Calfornia Ghost Shrimp	burrowing shrimp	taxon	Species		feeding	free-living	free-living	predator		low	resident		4.74904783	1.83446563	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1617.69	2681.19182	8.69013522	7.1600804	11.3586465	9.54164015	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Decapoda				Callianassidae	Neotrypaea	californiensis	
CSM	158	112	1	adult	112.1	Southern Mud Shrimp	burrowing shrimp	taxon	Species		feeding	free-living	free-living	predator		low	resident		8.1941841		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1010.22	2388.78359	7	8.277904	19.5741325	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Decapoda				Upogebiidae	Upogebia	macginitieorum	
CSM	159	113	1	adult	113.1	Green Shore Crab	crab	taxon	Species		feeding	free-living	free-living	predator		low	resident		1.16850119	0.94407663	3	population	individuals encountered during the random sampling described in Kuris et al. (2008)	147.07	320.265229	4	0.1412562	0.24488932	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Decapoda				Grapsidae	Hemigrapsus	oregonensis	
CSM	160	114	1	adult	114.1	Striped Shore Crab	crab	taxon	Species		feeding	free-living	free-living	predator		low	resident		8.2920462	9.1481989	203	population	individuals encountered during the random sampling described in Kuris et al. (2008)	18204.25	12886.5303	8.45458431	175.59909	162.791478	9.63112365	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Decapoda				Grapsidae	Pachygrapsus	crassipes	
CSM	161	115	1	adult	115.1	Fiddler Crab	crab	taxon	Species		feeding	free-living	free-living	predator		low	resident		1.86130374		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	115.05	319.440776	4	0.2141502	0.59457631	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Arthropoda	Crustacea		Malacostraca		Decapoda				Oxypodidae	Uca	crenulata	
CSM	162	116	1	adult	116.1	Yellow-fin Goby	fish	taxon	Species		feeding	free-living	free-living	predator		high	resident		26.9388716	10.2614342	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	15.74	24.5412673	7	0.4240099	0.66777384	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Perciformes				Gobiidae	Acanthogobius	flavimanus	
CSM	164	118	1	adult	118.1	Topsmelt	fish	taxon	Species		feeding	free-living	free-living	predator		high	resident		2.59261677	9.38921251	11	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1733.04	1270.25193	7.00008201	4.5752376	3.44611838	7.00000142	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Atheriniformes				Atherinopsidae	Atherinops	affinis	
CSM	165	119	1	adult	119.1	Arrow Goby	fish	taxon	Species		feeding	free-living	free-living	predator		low	resident		0.3380892	2.08956258	11	population	individuals encountered during the random sampling described in Kuris et al. (2008)	2165.77	1495.09807	10.6636361	0.6982437	0.4960585	10.8654733	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Perciformes				Gobiidae	Clevelandia	ios	
CSM	166	120	1	adult	120.1	Shiner Surfperch	fish	taxon	Species		feeding	free-living	free-living	predator		intermediate	resident		3.67831145	1.36426108	2	population	individuals encountered during the random sampling described in Kuris et al. (2008)	12.22	21.0435493	7	0.0449312	0.08640368	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Perciformes				Embiotocidae	Cymatogaster	aggregata	
CSM	167	121	1	adult	121.1	California Killifish	fish	taxon	Species		feeding	free-living	free-living	predator		high	resident		0.50501708	10.7392971	13	population	individuals encountered during the random sampling described in Kuris et al. (2008)	2839.51	3697.48544	4.28518959	1.6540096	1.8789584	9.6701865	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Cyprinodontiformes				Fundulidae	Fundulus	parvipinnis	
CSM	168	122	1	adult	122.1	Long-jawed Mudsucker	fish	taxon	Species		feeding	free-living	free-living	predator		low	resident		19.4152654	15.0373952	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	39.80	61.9415281	7	0.7728177	1.31216744	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Chordata	Vertebrata		Osteichthyes		Perciformes				Gobiidae	Gillichthys	mirabilis	
